,secID,ticker,secShortName,exchangeCD,partyID,changeDate,totalShares,sharesA,sharesB,floatA,nonrestfloatA,floatB,restShares,nonrestFloatShares
60,000848.XSHE,000848,承德露露,XSHE,395,2000-06-30,259250000,259250000,,91000000,91000000,,,91000000
61,000848.XSHE,000848,承德露露,XSHE,395,2000-04-24,259250000,259250000,0.0,91000000,70000000,0.0,21000000.0,70000000
62,000848.XSHE,000848,承德露露,XSHE,395,1999-12-31,231000000,231000000,,70000000,70000000,,,70000000
63,000848.XSHE,000848,承德露露,XSHE,395,1999-06-30,231000000,231000000,,70000000,70000000,,,70000000
64,000848.XSHE,000848,承德露露,XSHE,395,1998-12-31,231000000,231000000,,70000000,70000000,,,70000000
65,000848.XSHE,000848,承德露露,XSHE,395,1998-09-15,231000000,231000000,,70000000,70000000,,,70000000
66,000848.XSHE,000848,承德露露,XSHE,395,1998-06-30,115500000,115500000,,35000000,35000000,,,35000000
67,000848.XSHE,000848,承德露露,XSHE,395,1998-05-15,115500000,115500000,0.0,34919000,34919000,0.0,0.0,34919000
68,000848.XSHE,000848,承德露露,XSHE,395,1997-12-31,115500000,115500000,,31500000,31500000,,,31500000
69,000848.XSHE,000848,承德露露,XSHE,395,1997-11-13,115500000,115500000,,31500000,31500000,,,31500000
